|note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
1617|⊙ Ara mateix, ⊙nosaltres {{c1::andamos::…andar…}} (per els carrers)| andar ends_in_ar irregular_verb moderate_irregularity nosotros presente regular_form |andar|caminar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::andamos::…andar…}} (por las calles)|caminem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (per els carrers)|⊙ Ara mateix, ⊙nosaltres {{c1::caminem::…caminar…}} (per els carrers)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres caminar 
1618|⊙ Ara mateix, ⊙vosaltres {{c1::andáis::…andar…}} (per els carrers)| andar ends_in_ar irregular_verb moderate_irregularity presente regular_form vosotros |andar|caminar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::andáis::…andar…}} (por las calles)|camineu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (per els carrers)|⊙ Ara mateix, ⊙vosaltres {{c1::camineu::…caminar…}} (per els carrers)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres caminar 
1619|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::andan::…andar…}} (per els carrers)| andar ellos_ellas_ustedes ends_in_ar in_the_wild irregular_verb moderate_irregularity modismo presente regular_form |andar|caminar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::andan::…andar…}} (por las calles)|caminen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (per els carrers)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::caminen::…caminar…}} (per els carrers)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès caminar 
1663|⊙ Ara mateix, ⊙jo {{c1::inclujo::…incluir…}} (a la Sofia a la discussió)| ends_in_ir incluir irregular_form irregular_verb moderate_irregularity presente yo |incluir|incloure|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::incluyo::…incluir…}} (a Sofia en la discusión)|incloc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙jo {{c1::incloc::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|jo| present indicatiu -re jo incloure 
1664|⊙ Ara mateix, ⊙tu {{c1::incluyes::…incluir…}} (a la Sofia a la discussió)| ends_in_ir incluir irregular_form irregular_verb moderate_irregularity presente tú tú_vos |incluir|incloure|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::incluyes::…incluir…}} (a Sofia en la discusión)|inclous|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙tu {{c1::inclous::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|tu| present indicatiu -re tu incloure 
1665|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::incluye::…incluir…}} (a la Sofia a la discussió)| ends_in_ir incluir irregular_form irregular_verb moderate_irregularity presente él_ella_usted |incluir|incloure|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::incluye::…incluir…}} (a Sofia en la discusión)|inclou|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::inclou::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè incloure 
1666|⊙ Ara mateix, ⊙nosaltres {{c1::incluimos::…incluir…}} (a la Sofia a la discussió)| ends_in_ir incluir irregular_verb moderate_irregularity nosotros presente regular_form |incluir|incloure|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::incluimos::…incluir…}} (a Sofia en la discusión)|incloem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙nosaltres {{c1::incloem::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres incloure 
1667|⊙ Ara mateix, ⊙vosaltres {{c1::incluís::…incluir…}} (a la Sofia a la discussió)| ends_in_ir incluir irregular_verb moderate_irregularity presente regular_form vosotros |incluir|incloure|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::incluís::…incluir…}} (a Sofia en la discusión)|incloeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙vosaltres {{c1::incloeu::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres incloure 
1668|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::incluyen::…incluir…}} (a la Sofia a la discussió)| ellos_ellas_ustedes ends_in_ir incluir irregular_form irregular_verb moderate_irregularity presente |incluir|incloure|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::incluyen::…incluir…}} (a Sofia en la discusión)|inclouen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (a la Sofia a la discussió)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::inclouen::…incloure…}} (a la Sofia a la discussió)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès incloure 
1712|⊙ Ara mateix, ⊙jo {{c1::valgo::…valer…}} (poc per als caps)| ends_in_er irregular_form irregular_verb moderate_irregularity presente valer yo |valer|valer|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::valgo::…valer…}} (poco para los jefes)|valc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (poc per als caps)|⊙ Ara mateix, ⊙jo {{c1::valc::…valer…}} (poc per als caps)|present|indicatiu|-er|jo| present indicatiu -er jo valer 
1713|⊙ Ara mateix, ⊙tu {{c1::vales::…valer…}} (poc per als caps)| ends_in_er irregular_verb moderate_irregularity presente regular_form tú tú_vos valer |valer|valer|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::vales::…valer…}} (poco para los jefes)|vals|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (poc per als caps)|⊙ Ara mateix, ⊙tu {{c1::vals::…valer…}} (poc per als caps)|present|indicatiu|-er|tu| present indicatiu -er tu valer 
1714|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::vale::…valer…}} (poc per als caps)| ends_in_er in_the_wild irregular_verb moderate_irregularity modismo presente regular_form valer él_ella_usted |valer|valer|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::vale::…valer…}} (poco para los jefes)|val|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (poc per als caps)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::val::…valer…}} (poc per als caps)|present|indicatiu|-er|ell/ella/vostè| present indicatiu -er ell/ella/vostè valer 
1715|⊙ Ara mateix, ⊙nosaltres {{c1::valemos::…valer…}} (poc per als caps)| ends_in_er irregular_verb moderate_irregularity nosotros presente regular_form valer |valer|valer|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::valemos::…valer…}} (poco para los jefes)|valem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (poc per als caps)|⊙ Ara mateix, ⊙nosaltres {{c1::valem::…valer…}} (poc per als caps)|present|indicatiu|-er|nosaltres| present indicatiu -er nosaltres valer 
1716|⊙ Ara mateix, ⊙vosaltres {{c1::valéis::…valer…}} (poc per als caps)| ends_in_er irregular_verb moderate_irregularity presente regular_form valer vosotros |valer|valer|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::valéis::…valer…}} (poco para los jefes)|valeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (poc per als caps)|⊙ Ara mateix, ⊙vosaltres {{c1::valeu::…valer…}} (poc per als caps)|present|indicatiu|-er|vosaltres| present indicatiu -er vosaltres valer 
1717|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::valen::…valer…}} (poc per als caps)| ellos_ellas_ustedes ends_in_er irregular_verb moderate_irregularity presente regular_form valer |valer|valer|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::valen::…valer…}} (poco para los jefes)|valen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (poc per als caps)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::valen::…valer…}} (poc per als caps)|present|indicatiu|-er|ells/elles/vostès| present indicatiu -er ells/elles/vostès valer 
1761|⊙ Ara mateix, ⊙jo {{c1::reúno::…reunir…}} (als amics)| ends_in_ir irregular_form irregular_verb low_irregularity presente reunir yo |reunir|reunir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::reúno::…reunir…}} (a los amigos)|reuneixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (als amics)|⊙ Ara mateix, ⊙jo {{c1::reuneixo::…reunir…}} (als amics)|present|indicatiu|-ir|jo| present indicatiu -ir jo reunir 
1762|⊙ Ara mateix, ⊙tu {{c1::reúnes::…reunir…}} (als amics)| ends_in_ir irregular_form irregular_verb low_irregularity presente reunir tú tú_vos |reunir|reunir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::reúnes::…reunir…}} (a los amigos)|reuneixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (als amics)|⊙ Ara mateix, ⊙tu {{c1::reuneixes::…reunir…}} (als amics)|present|indicatiu|-ir|tu| present indicatiu -ir tu reunir 
1763|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::reúne::…reunir…}} (als amics)| ends_in_ir in_the_wild irregular_form irregular_verb low_irregularity modismo presente reunir él_ella_usted |reunir|reunir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::reúne::…reunir…}} (a los amigos)|reuneix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (als amics)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::reuneix::…reunir…}} (als amics)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè reunir 
1764|⊙ Ara mateix, ⊙nosaltres {{c1::reunimos::…reunir…}} (als amics)| ends_in_ir irregular_verb low_irregularity nosotros presente regular_form reunir |reunir|reunir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::reunimos::…reunir…}} (a los amigos)|reunim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (als amics)|⊙ Ara mateix, ⊙nosaltres {{c1::reunim::…reunir…}} (als amics)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres reunir 
1765|⊙ Ara mateix, ⊙vosaltres {{c1::reunís::…reunir…}} (als amics)| ends_in_ir irregular_verb low_irregularity presente regular_form reunir vosotros |reunir|reunir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::reunís::…reunir…}} (a los amigos)|reuniu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (als amics)|⊙ Ara mateix, ⊙vosaltres {{c1::reuniu::…reunir…}} (als amics)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres reunir 
1766|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::reúnen::…reunir…}} (als amics)| ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity presente reunir |reunir|reunir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::reúnen::…reunir…}} (a los amigos)|reuneixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (als amics)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::reuneixen::…reunir…}} (als amics)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès reunir 
1810|⊙ Ara mateix, ⊙jo {{c1::actuo::…actuar…}} (al teatre)| actuar ends_in_ar irregular_form irregular_verb low_irregularity presente yo |actuar|actuar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::actúo::…actuar…}} (en el teatro)|actuo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (al teatre)|⊙ Ara mateix, ⊙jo {{c1::actuo::…actuar…}} (al teatre)|present|indicatiu|-ar|jo| present indicatiu -ar jo actuar 
1811|⊙ Ara mateix, ⊙tu {{c1::actuas::…actuar…}} (al teatre)| actuar ends_in_ar irregular_form irregular_verb low_irregularity presente tú tú_vos |actuar|actuar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::actúas::…actuar…}} (en el teatro)|actues|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (al teatre)|⊙ Ara mateix, ⊙tu {{c1::actues::…actuar…}} (al teatre)|present|indicatiu|-ar|tu| present indicatiu -ar tu actuar 
1812|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::actua::…actuar…}} (al teatre)| actuar ends_in_ar irregular_form irregular_verb low_irregularity presente él_ella_usted |actuar|actuar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::actúa::…actuar…}} (en el teatro)|actua|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (al teatre)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::actua::…actuar…}} (al teatre)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè actuar 
1813|⊙ Ara mateix, ⊙nosaltres {{c1::actuamos::…actuar…}} (al teatre)| actuar ends_in_ar irregular_verb low_irregularity nosotros presente regular_form |actuar|actuar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::actuamos::…actuar…}} (en el teatro)|actuem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (al teatre)|⊙ Ara mateix, ⊙nosaltres {{c1::actuem::…actuar…}} (al teatre)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres actuar 
1814|⊙ Ara mateix, ⊙vosaltres {{c1::actuáis::…actuar…}} (al teatre)| actuar ends_in_ar irregular_verb low_irregularity presente regular_form vosotros |actuar|actuar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::actuáis::…actuar…}} (en el teatro)|actueu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (al teatre)|⊙ Ara mateix, ⊙vosaltres {{c1::actueu::…actuar…}} (al teatre)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres actuar 
1815|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::actuan::…actuar…}} (al teatre)| actuar ellos_ellas_ustedes ends_in_ar in_the_wild irregular_form irregular_verb low_irregularity modismo presente |actuar|actuar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::actúan::…actuar…}} (en el teatro)|actuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (al teatre)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::actuen::…actuar…}} (al teatre)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès actuar 
1859|⊙ Ara mateix, ⊙jo {{c1::quepo::…caber…}} (al cotxe)| caber ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente yo |caber|cabre|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::quepo::…caber…}} (en el coche)|cabo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (al cotxe)|⊙ Ara mateix, ⊙jo {{c1::cabo::…cabre…}} (al cotxe)|present|indicatiu|-re|jo| present indicatiu -re jo cabre 
1860|⊙ Ara mateix, ⊙tu {{c1::cabes::…caber…}} (al cotxe)| caber ends_in_er extreme_irregularity irregular_verb presente regular_form tú tú_vos |caber|cabre|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::cabes::…caber…}} (en el coche)|caps|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (al cotxe)|⊙ Ara mateix, ⊙tu {{c1::caps::…cabre…}} (al cotxe)|present|indicatiu|-re|tu| present indicatiu -re tu cabre 
1861|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::cabe::…caber…}} (al cotxe)| caber ends_in_er extreme_irregularity in_the_wild irregular_verb modismo presente regular_form él_ella_usted |caber|cabre|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::cabe::…caber…}} (en el coche)|cap|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (al cotxe)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::cap::…cabre…}} (al cotxe)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè cabre 
1862|⊙ Ara mateix, ⊙nosaltres {{c1::cabemos::…caber…}} (al cotxe)| caber ends_in_er extreme_irregularity irregular_verb nosotros presente regular_form |caber|cabre|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::cabemos::…caber…}} (en el coche)|cabem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (al cotxe)|⊙ Ara mateix, ⊙nosaltres {{c1::cabem::…cabre…}} (al cotxe)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres cabre 
1863|⊙ Ara mateix, ⊙vosaltres {{c1::cabéis::…caber…}} (al cotxe)| caber ends_in_er extreme_irregularity irregular_verb presente regular_form vosotros |caber|cabre|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::cabéis::…caber…}} (en el coche)|cabeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (al cotxe)|⊙ Ara mateix, ⊙vosaltres {{c1::cabeu::…cabre…}} (al cotxe)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres cabre 
1864|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::caben::…caber…}} (al cotxe)| caber ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_verb presente regular_form |caber|cabre|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::caben::…caber…}} (en el coche)|caben|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (al cotxe)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::caben::…cabre…}} (al cotxe)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès cabre 
1908|⊙ Ara mateix, ⊙jo {{c1::envío::…enviar…}} (cartes)| ends_in_ar enviar irregular_form irregular_verb low_irregularity presente yo |enviar|enviar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::envío::…enviar…}} (cartas)|envio|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (cartes)|⊙ Ara mateix, ⊙jo {{c1::envio::…enviar…}} (cartes)|present|indicatiu|-ar|jo| present indicatiu -ar jo enviar 
1909|⊙ Ara mateix, ⊙tu {{c1::envías::…enviar…}} (cartes)| ends_in_ar enviar irregular_form irregular_verb low_irregularity presente tú tú_vos |enviar|enviar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::envías::…enviar…}} (cartas)|envies|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (cartes)|⊙ Ara mateix, ⊙tu {{c1::envies::…enviar…}} (cartes)|present|indicatiu|-ar|tu| present indicatiu -ar tu enviar 
1910|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::envía::…enviar…}} (cartes)| ends_in_ar enviar irregular_form irregular_verb low_irregularity presente él_ella_usted |enviar|enviar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::envía::…enviar…}} (cartas)|envia|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (cartes)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::envia::…enviar…}} (cartes)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè enviar 
1911|⊙ Ara mateix, ⊙nosaltres {{c1::enviamos::…enviar…}} (cartes)| ends_in_ar enviar irregular_verb low_irregularity nosotros presente regular_form |enviar|enviar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::enviamos::…enviar…}} (cartas)|enviem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (cartes)|⊙ Ara mateix, ⊙nosaltres {{c1::enviem::…enviar…}} (cartes)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres enviar 
1912|⊙ Ara mateix, ⊙vosaltres {{c1::enviáis::…enviar…}} (cartes)| ends_in_ar enviar irregular_verb low_irregularity presente regular_form vosotros |enviar|enviar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::enviáis::…enviar…}} (cartas)|envieu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (cartes)|⊙ Ara mateix, ⊙vosaltres {{c1::envieu::…enviar…}} (cartes)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres enviar 
1913|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::envían::…enviar…}} (cartes)| ellos_ellas_ustedes ends_in_ar enviar irregular_form irregular_verb low_irregularity presente |enviar|enviar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::envían::…enviar…}} (cartas)|envien|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (cartes)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::envien::…enviar…}} (cartes)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès enviar 
1957|⊙ Ara mateix, ⊙jo {{c1::adquiero::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente yo |adquirir|adquirir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::adquiero::…adquirir…}} (libros)|adquireixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (llibres)|⊙ Ara mateix, ⊙jo {{c1::adquireixo::…adquirir…}} (llibres)|present|indicatiu|-ir|jo| present indicatiu -ir jo adquirir 
1958|⊙ Ara mateix, ⊙tu {{c1::adquieres::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente tú tú_vos |adquirir|adquirir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::adquieres::…adquirir…}} (libros)|adquireixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (llibres)|⊙ Ara mateix, ⊙tu {{c1::adquireixes::…adquirir…}} (llibres)|present|indicatiu|-ir|tu| present indicatiu -ir tu adquirir 
1959|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::adquiere::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_form irregular_verb low_irregularity presente él_ella_usted |adquirir|adquirir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::adquiere::…adquirir…}} (libros)|adquireix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (llibres)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::adquireix::…adquirir…}} (llibres)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè adquirir 
1960|⊙ Ara mateix, ⊙nosaltres {{c1::adquirimos::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity nosotros presente regular_form |adquirir|adquirir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::adquirimos::…adquirir…}} (libros)|adquirim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (llibres)|⊙ Ara mateix, ⊙nosaltres {{c1::adquirim::…adquirir…}} (llibres)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres adquirir 
1961|⊙ Ara mateix, ⊙vosaltres {{c1::adquirís::…adquirir…}} (llibres)| adquirir ends_in_ir irregular_verb low_irregularity presente regular_form vosotros |adquirir|adquirir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::adquirís::…adquirir…}} (libros)|adquiriu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (llibres)|⊙ Ara mateix, ⊙vosaltres {{c1::adquiriu::…adquirir…}} (llibres)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres adquirir 
1962|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::adquieren::…adquirir…}} (llibres)| adquirir ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity presente |adquirir|adquirir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::adquieren::…adquirir…}} (libros)|adquireixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (llibres)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::adquireixen::…adquirir…}} (llibres)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès adquirir 
2006|⊙ Ara mateix, ⊙jo {{c1::cojo::…coger…}} (el tren)| coger ends_in_er presente regular_form regular_spelling_change regular_verb yo |coger|agafar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::cojo::…coger…}} (el tren)|agafo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (el tren)|⊙ Ara mateix, ⊙jo {{c1::agafo::…agafar…}} (el tren)|present|indicatiu|-ar|jo| present indicatiu -ar jo agafar 
2007|⊙ Ara mateix, ⊙tu {{c1::coges::…coger…}} (el tren)| coger ends_in_er in_the_wild presente refrán regular_form regular_verb tú tú_vos |coger|agafar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::coges::…coger…}} (el tren)|agafes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (el tren)|⊙ Ara mateix, ⊙tu {{c1::agafes::…agafar…}} (el tren)|present|indicatiu|-ar|tu| present indicatiu -ar tu agafar 
2008|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::coge::…coger…}} (el tren)| coger ends_in_er presente regular_form regular_verb él_ella_usted |coger|agafar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::coge::…coger…}} (el tren)|agafa|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (el tren)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::agafa::…agafar…}} (el tren)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè agafar 
2009|⊙ Ara mateix, ⊙nosaltres {{c1::cogemos::…coger…}} (el tren)| coger ends_in_er nosotros presente regular_form regular_verb |coger|agafar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::cogemos::…coger…}} (el tren)|agafem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (el tren)|⊙ Ara mateix, ⊙nosaltres {{c1::agafem::…agafar…}} (el tren)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres agafar 
2010|⊙ Ara mateix, ⊙vosaltres {{c1::cogéis::…coger…}} (el tren)| coger ends_in_er presente regular_form regular_verb vosotros |coger|agafar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::cogéis::…coger…}} (el tren)|agafeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (el tren)|⊙ Ara mateix, ⊙vosaltres {{c1::agafeu::…agafar…}} (el tren)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres agafar 
